"Position (m) Run #15","Magnetic Field Strength (100X) (T) Run #15"
0.0000,2.1E-6
0.0000,2.1E-6
0.0000,2.1E-6
0.0000,2.1E-6
0.0000,2.1E-6
0.0000,2.1E-6
0.0000,2.1E-6
0.0000,2.1E-6
0.0000,2.1E-6
0.0000,2.1E-6
0.0000,2.1E-6
0.0000,2.1E-6
0.0000,2.1E-6
0.0000,2.1E-6
3.7500E-5,2.1E-6
3.7500E-5,2.1E-6
3.7500E-5,2.1E-6
3.7500E-5,2.1E-6
3.7500E-5,2.1E-6
3.7500E-5,2.1E-6
-7.5000E-5,2.2E-6
-4.5000E-4,2.5E-6
-0.0017,3.4E-6
-0.0045,5.3E-6
-0.0096,7.7E-6
-0.0168,9.8E-6
-0.0254,1.1E-5
-0.0352,1.0E-5
-0.0457,8.2E-6
-0.0565,6.0E-6
-0.0681,4.0E-6
-0.0808,2.3E-6
-0.0941,1.1E-6
-0.1070,3.2E-7
-0.1193,-2.2E-7
-0.1313,-6.0E-7
-0.1427,-8.6E-7
-0.1540,-1.1E-6
-0.1650,-1.2E-6
-0.1749,-1.3E-6
-0.1826,-1.4E-6
-0.1877,-1.4E-6
-0.1904,-1.4E-6
-0.1906,-1.4E-6
-0.1898,-1.4E-6
-0.1869,-1.4E-6
-0.1812,-1.3E-6
-0.1727,-1.2E-6
-0.1624,-1.1E-6
-0.1510,-9.3E-7
-0.1389,-6.5E-7
-0.1257,-2.4E-7
-0.1112,4.4E-7
-0.0955,1.6E-6
-0.0791,3.4E-6
-0.0622,6.2E-6
-0.0447,9.4E-6
-0.0264,1.0E-5
-0.0082,3.9E-6
0.0100,-6.2E-6
0.0280,-1.2E-5
0.0456,-1.2E-5
0.0626,-9.8E-6
0.0789,-7.2E-6
0.0952,-5.4E-6
0.1119,-4.1E-6
0.1281,-3.4E-6
0.1422,-2.9E-6
0.1546,-2.7E-6
0.1653,-2.5E-6
0.1748,-2.4E-6
0.1827,-2.3E-6
0.1881,-2.3E-6
0.1897,-2.2E-6
0.1892,-2.2E-6
0.1867,-2.3E-6
0.1809,-2.3E-6
0.1721,-2.5E-6
0.1606,-2.7E-6
0.1470,-3.0E-6
0.1316,-3.5E-6
0.1151,-4.4E-6
0.0985,-5.8E-6
0.0828,-7.8E-6
0.0670,-1.0E-5
0.0522,-1.3E-5
0.0386,-1.3E-5
0.0266,-1.1E-5
0.0168,-6.9E-6
0.0096,-3.0E-6
0.0044,-2.7E-7
0.0019,8.8E-7
0.0016,1.0E-6
0.0016,1.0E-6
0.0016,1.0E-6
0.0016,1.0E-6
0.0016,1.0E-6
0.0016,9.9E-7
0.0016,9.8E-7
0.0016,9.9E-7
0.0016,1.0E-6
0.0016,9.9E-7
0.0016,1.0E-6
0.0016,9.9E-7
0.0016,9.9E-7
0.0016,1.0E-6
0.0016,9.8E-7
0.0016,9.9E-7
0.0016,9.9E-7
0.0016,1.0E-6
0.0016,9.9E-7
0.0016,1.0E-6
0.0016,1.0E-6
0.0016,9.9E-7
0.0016,9.9E-7
0.0016,9.9E-7
