"Position (m) Run #11","Magnetic Field Strength (100X) (T) Run #11"
0.0011,3.8E-5
0.0011,3.8E-5
0.0011,3.8E-5
0.0011,3.8E-5
0.0011,3.8E-5
0.0012,3.8E-5
9.3750E-4,3.8E-5
-7.1250E-4,3.8E-5
-0.0047,3.8E-5
-0.0117,3.8E-5
-0.0214,3.8E-5
-0.0332,3.6E-5
-0.0464,3.1E-5
-0.0607,2.4E-5
-0.0756,1.7E-5
-0.0906,1.2E-5
-0.1062,8.6E-6
-0.1214,6.2E-6
-0.1349,4.8E-6
-0.1453,3.9E-6
-0.1528,3.5E-6
-0.1578,3.2E-6
-0.1623,2.9E-6
-0.1669,2.7E-6
-0.1713,2.5E-6
-0.1747,2.4E-6
-0.1772,2.3E-6
-0.1781,2.3E-6
-0.1781,2.3E-6
-0.1779,2.3E-6
-0.1761,2.4E-6
-0.1719,2.6E-6
-0.1652,2.9E-6
-0.1563,3.5E-6
-0.1452,4.3E-6
-0.1319,5.7E-6
-0.1167,8.0E-6
-0.1005,1.2E-5
-0.0834,1.7E-5
-0.0659,2.5E-5
-0.0475,3.4E-5
-0.0287,3.8E-5
-0.0099,3.8E-5
0.0087,3.8E-5
0.0271,3.8E-5
0.0441,3.5E-5
0.0600,2.9E-5
0.0753,2.1E-5
0.0906,1.5E-5
0.1054,1.1E-5
0.1195,8.0E-6
0.1332,6.0E-6
0.1461,4.7E-6
0.1585,3.7E-6
0.1699,3.0E-6
0.1795,2.6E-6
0.1858,2.4E-6
0.1876,2.3E-6
0.1866,2.4E-6
0.1821,2.7E-6
0.1733,3.1E-6
0.1618,3.8E-6
0.1484,5.0E-6
0.1337,6.9E-6
0.1180,9.7E-6
0.1022,1.4E-5
0.0868,2.0E-5
0.0724,2.6E-5
0.0594,3.2E-5
0.0466,3.6E-5
0.0340,3.8E-5
0.0217,3.8E-5
0.0114,3.8E-5
0.0032,3.8E-5
-0.0027,3.8E-5
-0.0065,3.8E-5
-0.0077,3.8E-5
-0.0077,3.8E-5
-0.0077,3.8E-5
-0.0077,3.8E-5
-0.0077,3.8E-5
-0.0077,3.8E-5
-0.0077,3.8E-5
-0.0077,3.8E-5
-0.0077,3.8E-5
-0.0077,3.8E-5
-0.0077,3.8E-5
-0.0077,3.8E-5
-0.0077,3.8E-5
-0.0077,3.8E-5
-0.0077,3.8E-5
