"Position (m) Run #14","Magnetic Field Strength (100X) (T) Run #14"
-3.7500E-5,5.2E-5
-3.7500E-5,5.2E-5
-3.7500E-5,5.2E-5
-3.7500E-5,5.2E-5
-3.7500E-5,5.2E-5
-3.7500E-5,5.2E-5
-3.7500E-5,5.2E-5
-3.7500E-5,5.2E-5
-3.7500E-5,5.2E-5
-3.7500E-5,5.2E-5
-3.7500E-5,5.2E-5
-3.7500E-5,5.2E-5
-3.7500E-5,5.2E-5
-3.7500E-5,5.2E-5
-3.7500E-5,5.1E-5
-3.7500E-5,5.2E-5
-7.5000E-5,5.1E-5
-5.2500E-4,5.1E-5
-0.0016,5.1E-5
-0.0038,5.1E-5
-0.0073,5.0E-5
-0.0118,4.8E-5
-0.0171,4.6E-5
-0.0235,4.2E-5
-0.0305,3.8E-5
-0.0379,3.3E-5
-0.0452,2.8E-5
-0.0524,2.4E-5
-0.0601,1.9E-5
-0.0688,1.6E-5
-0.0779,1.2E-5
-0.0870,9.7E-6
-0.0959,7.8E-6
-0.1042,6.3E-6
-0.1124,5.1E-6
-0.1205,4.2E-6
-0.1291,3.4E-6
-0.1375,2.7E-6
-0.1456,2.2E-6
-0.1536,1.8E-6
-0.1616,1.4E-6
-0.1692,1.1E-6
-0.1761,8.7E-7
-0.1819,7.2E-7
-0.1861,6.0E-7
-0.1889,5.4E-7
-0.1898,5.2E-7
-0.1897,5.3E-7
-0.1893,5.4E-7
-0.1877,5.8E-7
-0.1840,7.0E-7
-0.1783,8.9E-7
-0.1707,1.2E-6
-0.1612,1.6E-6
-0.1506,2.1E-6
-0.1395,2.9E-6
-0.1277,3.9E-6
-0.1152,5.4E-6
-0.1017,7.7E-6
-0.0874,1.1E-5
-0.0727,1.6E-5
-0.0578,2.4E-5
-0.0429,3.3E-5
-0.0275,4.3E-5
-0.0120,5.0E-5
0.0039,5.1E-5
0.0198,4.6E-5
0.0354,3.7E-5
0.0502,2.8E-5
0.0639,2.0E-5
0.0769,1.5E-5
0.0894,1.1E-5
0.1015,7.9E-6
0.1132,5.9E-6
0.1246,4.5E-6
0.1349,3.4E-6
0.1449,2.7E-6
0.1544,2.1E-6
0.1633,1.6E-6
0.1717,1.3E-6
0.1798,9.7E-7
0.1869,7.6E-7
0.1926,6.1E-7
0.1963,5.2E-7
0.1973,5.1E-7
0.1971,5.3E-7
0.1956,5.8E-7
0.1928,6.6E-7
0.1884,7.9E-7
0.1820,1.0E-6
0.1737,1.3E-6
0.1643,1.8E-6
0.1544,2.3E-6
0.1437,3.1E-6
0.1318,4.2E-6
0.1190,5.9E-6
0.1057,8.2E-6
0.0928,1.1E-5
0.0808,1.5E-5
0.0685,2.1E-5
0.0565,2.7E-5
0.0456,3.4E-5
0.0360,4.0E-5
0.0284,4.4E-5
0.0222,4.7E-5
0.0173,4.9E-5
0.0134,5.0E-5
0.0102,5.1E-5
0.0073,5.1E-5
0.0042,5.2E-5
6.3750E-4,5.1E-5
-0.0031,5.1E-5
-0.0067,5.0E-5
-0.0100,4.9E-5
-0.0122,4.9E-5
-0.0126,4.9E-5
-0.0126,4.9E-5
-0.0126,4.9E-5
-0.0126,4.9E-5
-0.0126,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
-0.0125,4.9E-5
